-90.22705188,29.54907583,BA02-104
-90.22704614,29.54907345,BA02-105
-90.22704132,29.54908463,BA02-106
-90.22744512,29.55271224,BA02-108
-90.22743867,29.55271210,BA02-109
-90.22743637,29.55272559,BA02-110
-90.01906839,29.71519395,BA03c-01
-90.02302795,29.69794001,BA03c-02
-90.01001971,29.69552961,BA03c-03
-90.02391350,29.68573496,BA03c-04
-90.06580813,29.63385947,BA03c-05
-90.04874755,29.64228989,BA03c-06
-90.03429738,29.65295448,BA03c-07
-90.06367107,29.66964686,BA03c-08
-90.04806117,29.66327292,BA03c-09
-90.02606512,29.66780882,BA03c-10
-90.04781725,29.68718112,BA03c-11
-90.00544208,29.68037613,BA03c-12
-90.02411157,29.70694709,BA03c-13
-89.99125831,29.69967012,BA03c-14
-90.04130044,29.71825438,BA03c-15
-90.00406823,29.68621173,BA03c-20
-90.00707437,29.70021139,BA03c-21
-90.01207154,29.69921050,BA03c-22
-90.01906878,29.68621217,BA03c-23
-90.02307415,29.69121078,BA03c-24
-90.01606964,29.70821123,BA03c-25
-90.01207167,29.71021110,BA03c-26
-90.00807372,29.71720945,BA03c-27
-90.02006783,29.72221051,BA03c-28
-90.02807122,29.72021028,BA03c-29
-90.03006984,29.71720907,BA03c-30
-90.03007051,29.69920981,BA03c-31
-90.03406841,29.69121184,BA03c-32
-90.04706922,29.70321128,BA03c-33
-90.06307638,29.70721116,BA03c-34
-90.06807340,29.71021030,BA03c-35
-90.07907513,29.70321137,BA03c-36
-90.09006952,29.70521005,BA03c-37
-90.09407493,29.71421115,BA03c-38
-90.06006986,29.68621370,BA03c-39
-90.04407053,29.67721281,BA03c-40
-90.02507299,29.68321321,BA03c-41
-90.03306880,29.66721284,BA03c-42
-90.03107007,29.65921342,BA03c-43
-90.06106970,29.65421180,BA03c-44
-90.06106934,29.64521310,BA03c-45
-90.04507038,29.64921338,BA03c-46
-90.03206952,29.65221238,BA03c-47
-90.00807425,29.65321255,BA03c-48
-90.04507018,29.64021249,BA03c-49
-90.04507027,29.63621259,BA03c-50
-90.01806929,29.63321324,BA03c-51
-90.00707511,29.62821475,BA03c-52
-90.01806895,29.62221477,BA03c-53
-90.03107084,29.61021613,BA03c-54
-90.04907674,29.62021430,BA03c-55
-90.05507323,29.61121367,BA03c-56
-90.06807407,29.60921322,BA03c-57
-90.06607515,29.62921382,BA03c-58
-90.08307346,29.63521469,BA03c-59
-90.08285617,29.68023310,BA03c-62
-90.08116425,29.66031106,BA03c-63
-90.00714627,29.64427654,BA03c-64
-90.04873268,29.60880441,BA03c-65
-90.07955252,29.63407063,BA03c-66
-90.06807540,29.61495839,BA03c-67
-89.80726392,29.56508846,BA04-01
-89.81068276,29.55697107,BA04-02
-89.80013861,29.54088850,BA04-03
-89.81913605,29.53387810,BA04-04
-89.83215197,29.55034070,BA04-05
-89.78333794,29.51591773,BA04-06
-89.78029347,29.52408406,BA04-07
-89.77547962,29.51033450,BA04-08
-89.79795718,29.50086376,BA04-09
-89.81716850,29.49999069,BA04-10
-89.89465235,29.58139336,BA04-101
-89.87993461,29.58147637,BA04-102
-89.88722471,29.56771434,BA04-103
-89.86246907,29.57527698,BA04-104
-89.84002174,29.56324836,BA04-105
-89.85405781,29.54966906,BA04-106
-89.83008471,29.55448701,BA04-107
-89.81887367,29.55413761,BA04-108
-89.80554337,29.56588121,BA04-109
-89.84152127,29.53732084,BA04-11
-89.80238909,29.56331628,BA04-110
-89.80514645,29.55795388,BA04-111
-89.80795479,29.55507935,BA04-112
-89.81569819,29.54392746,BA04-113
-89.82670671,29.53896509,BA04-114
-89.79732668,29.55154302,BA04-115
-89.79699647,29.53688315,BA04-116
-89.78241825,29.54275298,BA04-117
-89.81257204,29.52495517,BA04-118
-89.81810833,29.51858366,BA04-119
-89.86012941,29.56090072,BA04-12
-89.81318429,29.50545482,BA04-120
-89.79893621,29.52151598,BA04-121
-89.79090266,29.51990854,BA04-122
-89.77121479,29.52381630,BA04-123
-89.78922432,29.51675679,BA04-124
-89.79607985,29.50956819,BA04-125
-89.77754753,29.50770637,BA04-126
-89.75813732,29.49790068,BA04-127
-89.75478371,29.50672839,BA04-128
-89.74341762,29.50828761,BA04-129
-89.82204306,29.55225437,BA04-13
-89.73673393,29.51505369,BA04-130
-89.80341242,29.55960750,BA04-131
-89.80814694,29.56130637,BA04-132
-89.80799112,29.55802234,BA04-133
-89.81045516,29.55785388,BA04-134
-89.82369838,29.52592967,BA04-135
-89.84324328,29.53067258,BA04-136
-89.86144640,29.47960751,BA04-14
-89.79601885,29.49304127,BA04-15
-89.87577035,29.54183095,BA04-16
-89.82440788,29.52061244,BA04-17
-89.75529281,29.50060873,BA04-55
-89.76138854,29.47828503,BA04-56
-90.27542873,29.76329734,BA15-00
-90.27482600,29.76346080,BA15-02
-90.27422327,29.76362426,BA15-04
-90.27362305,29.76379002,BA15-06
-90.27302032,29.76395347,BA15-08
-90.27242022,29.76411472,BA15-10
-90.34953629,29.69739053,BA15-100
-90.27365036,29.76187615,BA15-1001
-90.27128165,29.76264130,BA15-1002
-90.26867226,29.76336987,BA15-1003
-90.26623504,29.76413351,BA15-1004
-90.26012542,29.76659791,BA15-1005R
-90.34973071,29.69672469,BA15-100R
-90.34934194,29.69805413,BA15-101
-90.34914781,29.69870871,BA15-102
-90.34895327,29.69937906,BA15-103
-90.34875890,29.70004265,BA15-104
-90.34880862,29.70068182,BA15-105
-90.34917235,29.70128894,BA15-106
-90.34953352,29.70189600,BA15-107
-90.34989791,29.70250314,BA15-108
-90.35025849,29.70310793,BA15-109
-90.35054204,29.70374502,BA15-110
-90.35072542,29.70440941,BA15-111
-90.35090874,29.70507605,BA15-112
-90.35109207,29.70574270,BA15-113
-90.35127545,29.70640709,BA15-114
-90.35145878,29.70707373,BA15-115
-90.35164211,29.70774038,BA15-116
-90.35182557,29.70840251,BA15-117
-90.35201148,29.70906921,BA15-118
-90.35219488,29.70973360,BA15-119
-90.27181748,29.76427816,BA15-12
-90.35237822,29.71040024,BA15-120
-90.35256156,29.71106688,BA15-121
-90.35274755,29.71173132,BA15-122
-90.35292831,29.71239792,BA15-123
-90.35311166,29.71306456,BA15-124
-90.35329765,29.71372900,BA15-125
-90.35349743,29.71440950,BA15-126
-90.35302840,29.71495711,BA15-127
-90.35258089,29.71552093,BA15-128
-90.35213402,29.71608476,BA15-129
-90.35168662,29.71664407,BA15-130
-90.35124748,29.71720806,BA15-131
-90.35079479,29.71777177,BA15-132
-90.35034796,29.71833334,BA15-133R
-90.34990042,29.71889715,BA15-134R
-90.34943956,29.71945167,BA15-135R
-90.34909522,29.72006941,BA15-136R
-90.34873943,29.72068015,BA15-137R
-90.34838628,29.72128870,BA15-138R
-90.34804469,29.72189972,BA15-139R
-90.27121474,29.76444160,BA15-14
-90.34603083,29.72401062,BA15-140R
-90.34552797,29.72453948,BA15-141R
-90.34501976,29.72507499,BA15-142R
-90.34452810,29.72559505,BA15-143R
-90.34405621,29.72609972,BA15-144R
-90.27061522,29.76460511,BA15-16
-90.27001177,29.76477079,BA15-18
-90.26940961,29.76493649,BA15-20
-90.26880950,29.76509772,BA15-22
-90.26820675,29.76526115,BA15-24
-90.26760400,29.76542457,BA15-26
-90.26700383,29.76558805,BA15-28
-90.26641740,29.76579240,BA15-30
-90.26588171,29.76593691,BA15-32
-90.26525966,29.76602551,BA15-34R
-90.26467049,29.76642597,BA15-36R
-90.26408722,29.76663262,BA15-38R
-90.26117613,29.76768626,BA15-48R
-90.26059273,29.76789741,BA15-50R
-90.26001191,29.76810861,BA15-52R
-90.25942915,29.76831976,BA15-54R
-90.25884580,29.76852864,BA15-56R
-90.25826498,29.76873983,BA15-58R
-90.27477868,29.76272697,BA15-60
-90.27427898,29.76295118,BA15-61
-90.27347297,29.76320064,BA15-62
-90.27244558,29.76356053,BA15-63
-90.27166766,29.76389399,BA15-64
-90.27125099,29.76403421,BA15-65
-90.27038993,29.76431183,BA15-66
-90.26972296,29.76453257,BA15-67
-90.26866789,29.76483999,BA15-68
-90.26725077,29.76472726,BA15-69
-90.26691769,29.76481058,BA15-70
-90.26666760,29.76481217,BA15-71
-90.26158963,29.76716492,BA15-72R
-90.26132300,29.76729920,BA15-73R
-90.26087623,29.76745230,BA15-74R
-90.26059566,29.76750511,BA15-75R
-90.26001192,29.76770498,BA15-76R
-90.15362415,29.79211978,BA16-01
-90.15305941,29.79040523,BA16-02
-90.15261674,29.78867077,BA16-03
-90.15218971,29.78690958,BA16-04
-90.15185375,29.78515035,BA16-05
-90.15146453,29.78340125,BA16-06
