StationID,Latitude,Longitude,StationName
9063020;42.8774;-78.8905;Buffalo
9063028;42.6913;-79.0473;Sturgeon Point
9063038;42.1540;-80.0925;Erie
9063053;41.7598;-81.2811;Fairport
9063063;41.5409;-81.6355;Cleveland
9063079;41.5436;-82.7314;Marblehead
9063085;41.6936;-83.4723;Toledo
9063090;41.9601;-83.2569;Fermi Power Plant
9075002;43.1404;-82.4939;Lakeport
9075014;43.8462;-82.6431;Harbor Beach
9075035;43.6404;-83.8468;Essexville
9075065;45.0630;-83.4286;Alpena
9075080;45.7779;-84.7253;Mackinaw City
9075099;45.9925;-83.8982;De Tour Village
9087023;43.9474;-86.4416;Ludington
9087031;42.7681;-86.2012;Holland
9087044;41.7299;-87.5384;Calumet Harbor
9087057;43.0020;-87.8876;Milwaukee
9087068;44.4640;-87.5010;Kewaunee
9087072;44.7956;-87.3143;Sturgeon Bay Canal
9087079;44.5411;-88.0072;Green Bay
9087088;45.0959;-87.5899;Menominee
9087096;45.9699;-85.8715;Port Inland
9052000;44.1302;-76.3320;Cape Vincent
9052030;43.4642;-76.5118;Oswego
9052058;43.2690;-77.6258;Rochester
9052076;43.3384;-78.7273;Olcott
9034052;42.4732;-82.8792;St Clair Shores
9099004;46.4845;-84.6309;Point Iroquois
9099018;46.5456;-87.3791;Marquette C.G.
9099044;46.8743;-89.3242;Ontonagon
9099064;46.7757;-92.0920;Duluth
9099090;47.7478;-90.3413;Grand Marais
9063007;43.0999;-79.0599;Ashland Ave
9063009;43.0811;-79.0614;American Falls
9063012;43.0769;-79.0139;Niagara Intake
9014070;42.6210;-82.5269;Algonac
9014080;42.8124;-82.4858;St Clair State Police
9014087;42.9453;-82.4435;Dry Dock
9014090;42.9738;-82.4204;Mouth of the Black River
9014096;43.0025;-82.4224;Dunn Paper
9014098;43.0069;-82.4225;Fort Gratiot
8311030;44.7029;-75.4944;Ogdensburg
8311062;44.3311;-75.9345;Alexandria Bay
9076024;46.2648;-84.1912;Rock Cut
9076027;46.2847;-84.2098;West Neebish Island
9076033;46.4857;-84.3018;Little Rapids
9076060;46.5010;-84.3403;U.S. Slip
9076070;46.5011;-84.3726;S.W. Pier
1611400;21.9544;-159.3561;Nawiliwili
1612340;21.3067;-157.8670;Honolulu
1612480;21.4331;-157.7900;Mokuoloe
1615680;20.8950;-156.4767;Kahului, Kahului Harbor
1617433;20.0366;-155.8294;Kawaihae
1617760;19.7303;-155.0558;Hilo, Hilo Bay, Kuhio Bay
8760721;29.1783;-89.2583;Pilottown
8760922;28.9322;-89.4075;Pilots Station East, SW Pass
8761305;29.8681;-89.6732;Shell Beach
8761724;29.2633;-89.9567;Grand Isle
8761847;29.9384;-90.0573;Crescent City Air Gap
8761927;30.0272;-90.1134;New Canal Station
8761955;29.9329;-90.1355;Carrollton
8762002;29.9431;-90.1681;Huey Long Bridge Air Gap
8762075;29.1142;-90.1992;Port Fourchon
8762482;29.7886;-90.4202;West Bank 1; Bayou Gauche
8764044;29.6675;-91.2376;Berwick
8764227;29.4496;-91.3381;LAWMA, Amerada Pass
